relative_humidity,dry_bulb_temp_f,wind_speed,station_pressure,precip
91.0,67.0,9.0,29.66,0.16
80.0,62.0,7.0,30.08,0.0
30.0,30.0,9.0,30.17,0.0
64.0,32.0,13.0,30.09,0.0
76.0,72.0,6.0,29.97,0.0
83.0,52.0,13.0,29.74,0.08
71.0,75.0,11.0,30.1,0.0
60.0,63.0,14.0,29.78,0.0
38.0,42.0,5.0,30.14,0.0
72.0,52.0,11.0,29.28,0.01
44.0,47.0,17.0,29.8,0.0
41.0,82.0,9.0,30.0,0.0
73.0,36.0,14.0,30.27,0.01
89.0,73.0,7.0,29.98,0.01
77.0,55.0,11.0,29.52,0.01
47.0,16.0,17.0,30.29,0.0
74.0,75.0,11.0,30.0,0.01
75.0,29.0,8.0,30.48,0.01
77.0,40.0,6.0,29.99,0.0
68.0,71.0,8.0,30.12,0.0
40.0,26.0,25.0,29.83,0.0
88.0,54.0,18.0,29.35,0.09
100.0,64.0,8.0,29.8,0.06
97.0,47.0,8.0,30.07,0.01
93.0,47.0,5.0,29.91,0.0
52.0,60.0,16.0,29.72,0.0
86.0,41.0,3.0,30.18,0.01
56.0,32.0,17.0,30.16,0.01
30.0,48.0,18.0,30.2,0.0
38.0,51.0,13.0,29.92,0.0
93.0,49.0,7.0,30.01,0.01
70.0,79.0,13.0,29.54,0.01
51.0,55.0,16.0,30.03,0.0
44.0,58.0,18.0,30.19,0.0
70.0,61.0,0.0,30.07,0.0
72.0,81.0,9.0,29.82,0.0
60.0,82.0,13.0,30.23,0.0
63.0,48.0,9.0,30.15,0.01
67.0,82.0,7.0,29.88,0.0
67.0,84.0,9.0,29.93,0.0
42.0,54.0,21.0,30.16,0.0
32.0,73.0,16.0,30.04,0.0
58.0,42.0,10.0,29.93,0.0
58.0,64.0,14.0,29.79,0.01
41.0,79.0,11.0,30.05,0.0
73.0,69.0,15.0,30.15,0.01
47.0,66.0,11.0,29.98,0.0
90.0,57.0,18.0,29.97,0.22
90.0,54.0,0.0,30.12,0.0
96.0,68.0,6.0,30.13,0.01
29.0,61.0,9.0,30.16,0.0
89.0,46.0,8.0,30.0,0.01
86.0,45.0,17.0,29.93,0.02
76.0,70.0,3.0,30.06,0.01
78.0,72.0,10.0,30.04,0.01
60.0,44.0,14.0,30.34,0.0
71.0,74.0,7.0,30.04,0.0
58.0,80.0,10.0,30.01,0.0
61.0,35.0,25.0,30.1,0.01
84.0,69.0,3.0,29.91,0.0
30.0,71.0,10.0,30.23,0.01
27.0,53.0,18.0,29.87,0.01
79.0,79.0,20.0,29.98,0.01
81.0,69.0,14.0,29.87,0.01
43.0,28.0,0.0,30.28,0.01
93.0,68.0,9.0,29.81,0.01
100.0,42.0,8.0,29.65,0.01
74.0,21.0,8.0,30.11,0.02
93.0,64.0,6.0,30.07,0.0
65.0,66.0,6.0,30.11,0.0
72.0,55.0,0.0,29.82,0.0
85.0,74.0,7.0,29.88,0.01
82.0,50.0,16.0,29.58,0.01
86.0,51.0,6.0,30.38,0.0
51.0,42.0,17.0,29.99,0.0
89.0,36.0,8.0,29.65,0.01
53.0,41.0,6.0,30.15,0.0
93.0,64.0,0.0,30.21,0.0
66.0,46.0,8.0,30.25,0.0
51.0,29.0,19.0,29.82,0.01
72.0,33.0,23.0,29.66,0.01
46.0,50.0,15.0,29.92,0.0
44.0,68.0,8.0,30.16,0.0
94.0,54.0,5.0,29.97,0.01
41.0,44.0,14.0,30.18,0.01
39.0,29.0,21.0,30.25,0.0
94.0,55.0,5.0,30.15,0.01
71.0,80.0,7.0,29.61,0.01
48.0,38.0,10.0,30.31,0.0
30.0,70.0,24.0,29.8,0.0
64.0,52.0,3.0,30.09,0.0
71.0,51.0,7.0,30.02,0.0
65.0,39.0,32.0,29.82,0.0
94.0,73.0,5.0,29.83,0.24
82.0,70.0,11.0,30.07,0.01
49.0,27.0,17.0,30.13,0.0
89.0,39.0,15.0,29.91,0.03
40.0,25.0,11.0,30.52,0.01
33.0,81.0,24.0,29.7,0.0
72.0,59.0,15.0,29.9,0.0
40.0,68.0,15.0,29.67,0.0
79.0,46.0,9.0,30.36,0.0
35.0,55.0,24.0,29.77,0.0
78.0,57.0,6.0,30.08,0.0
86.0,47.0,10.0,29.69,0.0
75.0,33.0,9.0,30.6,0.01
66.0,73.0,8.0,29.96,0.0
53.0,39.0,8.0,30.53,0.0
56.0,79.0,15.0,29.92,0.0
90.0,61.0,13.0,29.79,0.01
94.0,76.0,7.0,29.75,0.01
46.0,25.0,13.0,30.34,0.0
44.0,28.0,18.0,30.09,0.01
97.0,40.0,11.0,30.1,0.01
32.0,35.0,30.0,30.0,0.0
60.0,82.0,9.0,29.95,0.0
66.0,69.0,17.0,29.72,0.0
57.0,39.0,7.0,30.33,0.01
65.0,38.0,15.0,30.15,0.0
77.0,45.0,7.0,30.27,0.0
39.0,65.0,14.0,29.93,0.0
51.0,56.0,14.0,29.97,0.0
87.0,69.0,5.0,29.85,0.0
77.0,51.0,5.0,30.25,0.0
87.0,46.0,7.0,29.8,0.01
24.0,77.0,16.0,29.95,0.0
68.0,42.0,10.0,30.21,0.0
79.0,73.0,6.0,30.17,0.0
79.0,42.0,5.0,30.17,0.03
59.0,54.0,10.0,29.89,0.0
88.0,55.0,13.0,30.28,0.01
90.0,54.0,10.0,30.16,0.01
46.0,47.0,16.0,29.97,0.0
51.0,38.0,22.0,29.93,0.0
53.0,39.0,14.0,30.19,0.0
59.0,49.0,11.0,30.1,0.01
54.0,50.0,8.0,29.91,0.0
87.0,59.0,8.0,29.76,0.01
83.0,77.0,8.0,29.83,0.01
75.0,63.0,15.0,29.81,0.01
54.0,32.0,0.0,30.32,0.0
71.0,80.0,10.0,30.01,0.0
73.0,38.0,11.0,30.04,0.0
66.0,45.0,24.0,29.19,0.0
62.0,37.0,9.0,30.59,0.01
50.0,49.0,10.0,30.07,0.0
42.0,12.0,9.0,30.46,0.0
86.0,62.0,6.0,29.91,0.01
42.0,46.0,9.0,30.2,0.01
16.0,42.0,7.0,30.23,0.0
93.0,67.0,6.0,29.97,0.0
82.0,31.0,3.0,30.41,0.01
67.0,61.0,13.0,30.15,0.01
90.0,71.0,9.0,29.75,0.0
88.0,75.0,5.0,30.0,0.01
53.0,44.0,11.0,29.75,0.0
51.0,40.0,13.0,30.0,0.0
36.0,31.0,16.0,30.37,0.0
79.0,80.0,14.0,29.73,0.01
46.0,70.0,13.0,29.86,0.0
100.0,64.0,6.0,29.99,0.01
58.0,28.0,11.0,29.88,0.0
33.0,82.0,11.0,29.95,0.01
43.0,41.0,18.0,29.87,0.0
39.0,68.0,20.0,29.76,0.01
49.0,55.0,8.0,29.91,0.0
32.0,59.0,14.0,29.65,0.0
84.0,62.0,5.0,30.29,0.0
52.0,37.0,23.0,30.04,0.01
47.0,57.0,15.0,29.84,0.0
57.0,26.0,6.0,30.12,0.0
79.0,78.0,7.0,29.99,0.01
79.0,37.0,7.0,29.87,0.01
39.0,47.0,24.0,30.04,0.0
100.0,54.0,0.0,29.79,0.01
90.0,56.0,8.0,29.68,0.18
54.0,79.0,17.0,30.01,0.0
43.0,84.0,14.0,29.82,0.0
88.0,75.0,23.0,29.79,0.0
62.0,79.0,10.0,29.93,0.01
63.0,61.0,7.0,30.14,0.0
78.0,60.0,11.0,30.15,0.0
94.0,50.0,8.0,29.61,0.01
39.0,85.0,11.0,30.09,0.0
97.0,58.0,9.0,29.78,0.03
71.0,42.0,6.0,29.97,0.0
88.0,28.0,7.0,30.03,0.01
93.0,60.0,5.0,29.97,0.01
96.0,51.0,13.0,29.64,0.01
42.0,25.0,7.0,30.65,0.0
86.0,46.0,6.0,30.27,0.0
64.0,34.0,15.0,29.6,0.01
22.0,49.0,10.0,30.23,0.01
93.0,54.0,21.0,29.96,0.05
46.0,62.0,15.0,30.04,0.0
81.0,43.0,14.0,29.37,0.03
46.0,85.0,14.0,29.92,0.0
32.0,60.0,24.0,29.66,0.0
90.0,63.0,10.0,29.89,0.0
78.0,61.0,11.0,29.7,0.0
61.0,71.0,8.0,30.07,0.0
71.0,44.0,7.0,29.88,0.0
75.0,30.0,6.0,30.59,0.01
83.0,59.0,6.0,29.71,0.01
94.0,73.0,6.0,30.18,0.0
76.0,38.0,17.0,29.99,0.01
79.0,46.0,10.0,29.82,0.0
56.0,76.0,8.0,30.15,0.01
93.0,52.0,3.0,29.91,0.0
43.0,38.0,16.0,30.33,0.0
59.0,72.0,6.0,30.15,0.0
21.0,62.0,13.0,30.0,0.0
82.0,37.0,11.0,30.0,0.0
42.0,48.0,17.0,30.31,0.0
86.0,41.0,21.0,29.95,0.01
94.0,57.0,8.0,29.54,0.01
65.0,37.0,5.0,30.01,0.0
43.0,51.0,11.0,30.07,0.0
100.0,46.0,9.0,29.9,0.01
44.0,82.0,9.0,29.82,0.0
41.0,70.0,13.0,30.14,0.0
35.0,78.0,8.0,29.97,0.0
52.0,37.0,14.0,30.05,0.01
53.0,86.0,16.0,29.87,0.0
94.0,55.0,3.0,30.13,0.01
82.0,75.0,8.0,29.93,0.01
52.0,38.0,14.0,30.06,0.01
54.0,18.0,17.0,30.43,0.01
64.0,74.0,9.0,29.79,0.0
74.0,75.0,9.0,29.88,0.0
39.0,76.0,0.0,30.31,0.0
97.0,61.0,14.0,29.89,0.06
90.0,59.0,9.0,29.91,0.0
64.0,59.0,7.0,30.47,0.0
88.0,64.0,21.0,29.96,0.01
66.0,30.0,22.0,29.91,0.01
71.0,46.0,5.0,30.32,0.01
61.0,46.0,10.0,30.07,0.0
36.0,23.0,11.0,30.48,0.0
78.0,66.0,0.0,30.12,0.0
67.0,31.0,3.0,30.09,0.0
70.0,82.0,6.0,29.86,0.01
54.0,65.0,14.0,30.05,0.0
59.0,36.0,9.0,30.32,0.0
93.0,40.0,22.0,29.63,0.01
90.0,55.0,6.0,30.58,0.01
89.0,36.0,16.0,29.28,0.01
74.0,73.0,8.0,30.02,0.01
87.0,72.0,6.0,29.84,0.0
87.0,72.0,9.0,30.05,0.01
90.0,69.0,6.0,30.0,0.0
48.0,37.0,13.0,30.16,0.0
65.0,23.0,15.0,30.28,0.01
46.0,38.0,10.0,30.56,0.0
71.0,16.0,10.0,30.15,0.01
85.0,44.0,8.0,30.07,0.06
79.0,77.0,13.0,29.82,0.0
77.0,56.0,8.0,30.2,0.01
64.0,49.0,7.0,29.94,0.0
31.0,74.0,6.0,30.17,0.0
82.0,39.0,10.0,29.75,0.04
88.0,30.0,26.0,29.7,0.09
40.0,44.0,18.0,29.9,0.0
69.0,75.0,10.0,29.9,0.0
89.0,46.0,3.0,29.66,0.0
68.0,66.0,14.0,30.08,0.0
32.0,71.0,22.0,29.93,0.0
70.0,63.0,8.0,30.08,0.0
76.0,31.0,13.0,30.01,0.01
60.0,59.0,9.0,29.63,0.01
74.0,50.0,6.0,30.25,0.01
62.0,54.0,11.0,30.19,0.01
58.0,40.0,17.0,30.15,0.0
92.0,42.0,17.0,29.75,0.01
63.0,82.0,8.0,29.94,0.0
45.0,18.0,0.0,29.84,0.0
82.0,50.0,11.0,29.79,0.01
85.0,31.0,6.0,30.0,0.01
44.0,46.0,20.0,30.09,0.0
77.0,83.0,18.0,29.83,0.01
32.0,56.0,16.0,29.96,0.0
78.0,28.0,11.0,29.68,0.0
38.0,39.0,18.0,29.79,0.0
57.0,39.0,5.0,30.39,0.0
58.0,33.0,7.0,30.49,0.01
52.0,76.0,9.0,29.96,0.01
43.0,87.0,7.0,30.14,0.01
71.0,72.0,9.0,29.79,0.0
71.0,70.0,7.0,30.08,0.01
42.0,58.0,14.0,29.96,0.0
63.0,27.0,7.0,30.1,0.0
76.0,42.0,5.0,30.11,0.0
82.0,79.0,13.0,29.98,0.0
58.0,79.0,11.0,30.12,0.0
78.0,57.0,6.0,30.09,0.0
94.0,55.0,5.0,29.91,0.01
85.0,76.0,8.0,29.99,0.0
42.0,90.0,7.0,29.84,0.0
79.0,79.0,16.0,29.87,0.07
86.0,30.0,14.0,29.95,0.01
87.0,73.0,16.0,29.81,0.01
96.0,71.0,15.0,29.74,0.11
56.0,78.0,8.0,30.02,0.0
96.0,50.0,0.0,30.37,0.0
50.0,10.0,10.0,29.99,0.01
71.0,51.0,10.0,30.04,0.01
78.0,61.0,8.0,30.25,0.0
26.0,92.0,10.0,29.74,0.0
51.0,81.0,14.0,29.97,0.0
59.0,70.0,8.0,30.11,0.0
81.0,59.0,10.0,30.02,0.0
79.0,41.0,25.0,29.42,0.01
90.0,56.0,11.0,30.26,0.01
39.0,67.0,10.0,30.08,0.0
58.0,45.0,8.0,30.09,0.01
45.0,69.0,14.0,30.08,0.0
91.0,72.0,3.0,29.85,0.0
38.0,26.0,17.0,30.02,0.0
68.0,45.0,3.0,30.49,0.0
73.0,46.0,20.0,30.36,0.0
71.0,73.0,8.0,29.83,0.0
44.0,55.0,20.0,30.12,0.0
61.0,69.0,10.0,30.1,0.0
89.0,51.0,29.0,29.59,0.01
45.0,21.0,16.0,30.28,0.0
66.0,48.0,17.0,29.61,0.0
82.0,70.0,5.0,29.67,0.01
70.0,69.0,8.0,30.28,0.0
23.0,66.0,24.0,29.69,0.0
93.0,55.0,9.0,29.97,0.01
90.0,71.0,6.0,30.0,0.0
33.0,78.0,3.0,30.08,0.01
43.0,39.0,3.0,30.43,0.0
49.0,42.0,10.0,30.19,0.0
36.0,69.0,20.0,30.2,0.0
60.0,41.0,7.0,30.28,0.0
59.0,61.0,10.0,30.16,0.01
88.0,74.0,0.0,29.84,0.0
78.0,66.0,9.0,29.93,0.01
50.0,77.0,6.0,30.09,0.01
79.0,67.0,13.0,29.84,0.0
69.0,79.0,3.0,30.02,0.0
87.0,72.0,7.0,30.15,0.0
86.0,62.0,9.0,30.14,0.01
73.0,36.0,8.0,29.64,0.01
94.0,55.0,11.0,29.93,0.01
78.0,68.0,15.0,30.01,0.0
29.0,30.0,25.0,30.3,0.0
67.0,84.0,15.0,30.24,0.01
81.0,41.0,10.0,29.62,0.01
86.0,49.0,6.0,29.55,0.0
45.0,52.0,9.0,30.12,0.0
94.0,72.0,7.0,29.89,0.01
82.0,41.0,7.0,29.91,0.0
45.0,17.0,17.0,29.9,0.0
88.0,61.0,34.0,29.66,0.01
73.0,64.0,11.0,29.8,0.0
93.0,36.0,10.0,29.48,0.09
79.0,72.0,8.0,29.56,0.0
75.0,56.0,7.0,29.99,0.0
85.0,76.0,14.0,29.82,0.01
68.0,67.0,6.0,30.21,0.01
66.0,67.0,7.0,30.29,0.01
87.0,36.0,7.0,29.96,0.06
68.0,68.0,11.0,30.11,0.01
74.0,53.0,8.0,30.44,0.0
76.0,36.0,5.0,30.28,0.01
51.0,84.0,15.0,29.94,0.0
67.0,35.0,13.0,29.58,0.01
62.0,42.0,16.0,29.94,0.0
50.0,74.0,11.0,30.38,0.0
78.0,33.0,0.0,30.21,0.0
88.0,75.0,17.0,29.94,0.01
83.0,53.0,0.0,30.22,0.01
46.0,23.0,18.0,30.0,0.0
100.0,51.0,25.0,29.58,0.01
87.0,59.0,5.0,29.9,0.0
59.0,85.0,13.0,29.94,0.0
34.0,66.0,7.0,29.87,0.0
80.0,55.0,14.0,29.67,0.0
37.0,27.0,6.0,30.1,0.0
90.0,62.0,3.0,30.15,0.0
90.0,62.0,6.0,30.14,0.0
66.0,47.0,13.0,30.39,0.0
90.0,57.0,8.0,30.13,0.01
26.0,62.0,8.0,30.35,0.0
66.0,49.0,5.0,30.04,0.0
93.0,58.0,13.0,30.09,0.01
100.0,52.0,5.0,29.95,0.01
46.0,50.0,13.0,30.16,0.0
63.0,68.0,8.0,30.14,0.0
76.0,69.0,13.0,29.91,0.0
64.0,49.0,9.0,29.83,0.0
87.0,71.0,3.0,29.87,0.0
48.0,72.0,3.0,29.79,0.0
42.0,88.0,15.0,29.94,0.0
75.0,34.0,17.0,29.69,0.01
77.0,47.0,10.0,30.46,0.01
94.0,55.0,10.0,30.29,0.01
39.0,28.0,10.0,29.99,0.01
90.0,71.0,13.0,30.05,0.01
64.0,76.0,11.0,30.12,0.0
66.0,70.0,10.0,29.93,0.0
45.0,40.0,9.0,29.94,0.0
53.0,25.0,29.0,29.88,0.01
54.0,33.0,6.0,30.54,0.0
74.0,77.0,14.0,29.85,0.0
51.0,59.0,6.0,30.35,0.0
62.0,77.0,8.0,29.96,0.01
72.0,76.0,11.0,29.83,0.01
93.0,58.0,8.0,30.01,0.0
90.0,68.0,15.0,29.57,0.0
73.0,32.0,11.0,29.76,0.0
96.0,53.0,15.0,30.08,0.01
57.0,84.0,21.0,29.93,0.0
94.0,57.0,0.0,30.31,0.01
42.0,81.0,3.0,30.32,0.0
100.0,56.0,9.0,29.97,0.01
66.0,46.0,17.0,30.16,0.0
55.0,88.0,11.0,29.88,0.0
25.0,39.0,22.0,29.87,0.0
74.0,47.0,6.0,30.04,0.0
72.0,53.0,8.0,30.4,0.0
71.0,70.0,8.0,29.96,0.0
77.0,63.0,21.0,30.19,0.01
33.0,48.0,11.0,30.46,0.0
86.0,45.0,3.0,30.22,0.01
51.0,68.0,6.0,30.06,0.0
79.0,79.0,0.0,29.76,0.0
93.0,55.0,15.0,29.68,0.01
82.0,37.0,8.0,29.8,0.01
86.0,30.0,13.0,29.77,0.01
34.0,36.0,26.0,29.98,0.0
75.0,30.0,15.0,30.17,0.0
78.0,64.0,11.0,29.98,0.01
76.0,43.0,0.0,30.56,0.0
62.0,55.0,18.0,30.17,0.0
30.0,78.0,11.0,30.0,0.01
51.0,42.0,15.0,30.01,0.0
65.0,40.0,10.0,30.66,0.0
87.0,66.0,9.0,29.57,0.0
87.0,71.0,14.0,29.83,0.05
33.0,30.0,21.0,29.94,0.0
35.0,52.0,11.0,29.85,0.01
20.0,74.0,18.0,29.99,0.01
67.0,79.0,7.0,30.19,0.0
72.0,57.0,10.0,30.4,0.01
44.0,80.0,18.0,29.93,0.01
40.0,25.0,23.0,30.18,0.0
74.0,53.0,8.0,30.07,0.01
56.0,49.0,9.0,30.07,0.0
76.0,74.0,8.0,30.12,0.0
85.0,74.0,0.0,30.18,0.0
59.0,67.0,9.0,29.96,0.0
69.0,32.0,11.0,29.71,0.0
77.0,50.0,10.0,30.14,0.0
58.0,42.0,8.0,30.13,0.01
73.0,71.0,14.0,29.82,0.0
66.0,52.0,3.0,30.15,0.0
70.0,66.0,8.0,30.28,0.0
34.0,65.0,8.0,30.03,0.0
90.0,71.0,10.0,29.69,0.05
68.0,42.0,10.0,29.57,0.0
45.0,39.0,21.0,29.9,0.01
69.0,52.0,14.0,29.9,0.0
41.0,57.0,13.0,30.44,0.0
93.0,68.0,8.0,29.74,0.0
77.0,50.0,17.0,29.74,0.01
94.0,71.0,6.0,30.01,0.0
50.0,76.0,6.0,30.02,0.0
77.0,46.0,6.0,30.32,0.0
83.0,47.0,14.0,30.18,0.0
88.0,63.0,8.0,29.89,0.01
86.0,39.0,6.0,30.0,0.01
51.0,69.0,8.0,30.18,0.01
66.0,49.0,16.0,29.59,0.01
96.0,53.0,5.0,29.98,0.01
79.0,76.0,14.0,29.8,0.01
43.0,75.0,14.0,29.97,0.0
79.0,81.0,8.0,29.77,0.01
81.0,45.0,18.0,29.74,0.01
87.0,73.0,17.0,29.65,0.01
40.0,85.0,5.0,29.86,0.0
60.0,28.0,13.0,29.81,0.0
49.0,17.0,9.0,30.3,0.01
59.0,51.0,13.0,30.14,0.0
56.0,61.0,11.0,30.0,0.0
93.0,68.0,5.0,30.05,0.0
34.0,34.0,7.0,30.07,0.0
93.0,70.0,0.0,29.94,0.01
84.0,56.0,6.0,29.67,0.0
84.0,72.0,6.0,30.02,0.0
93.0,43.0,11.0,29.99,0.01
83.0,38.0,9.0,30.17,0.01
60.0,78.0,10.0,30.15,0.0
94.0,54.0,5.0,30.23,0.01
29.0,42.0,33.0,29.53,0.0
61.0,83.0,6.0,30.08,0.01
93.0,53.0,7.0,29.66,0.07
29.0,42.0,13.0,30.06,0.01
67.0,83.0,15.0,29.78,0.0
62.0,41.0,9.0,30.16,0.0
79.0,75.0,5.0,29.97,0.0
66.0,32.0,11.0,29.47,0.01
55.0,20.0,8.0,30.26,0.01
84.0,69.0,0.0,30.17,0.0
52.0,38.0,16.0,29.68,0.0
74.0,75.0,10.0,30.03,0.0
46.0,34.0,21.0,29.74,0.01
64.0,73.0,9.0,30.12,0.0
76.0,72.0,8.0,30.17,0.0
66.0,69.0,13.0,29.91,0.0
74.0,48.0,8.0,30.42,0.0
73.0,68.0,15.0,30.18,0.01
69.0,52.0,17.0,29.71,0.01
89.0,43.0,9.0,29.76,0.05
75.0,59.0,9.0,29.9,0.01
54.0,45.0,15.0,29.82,0.0
29.0,39.0,29.0,29.79,0.01
69.0,32.0,11.0,30.15,0.01
72.0,30.0,23.0,29.67,0.01
81.0,68.0,8.0,29.75,0.01
64.0,28.0,7.0,30.03,0.01
48.0,38.0,17.0,30.04,0.01
49.0,59.0,9.0,29.85,0.0
71.0,47.0,3.0,29.98,0.0
93.0,44.0,7.0,29.7,0.0
45.0,19.0,16.0,29.98,0.0
89.0,29.0,23.0,29.51,0.04
96.0,33.0,21.0,29.86,0.06
93.0,57.0,6.0,30.19,0.0
45.0,19.0,16.0,29.97,0.0
90.0,54.0,10.0,29.91,0.0
45.0,16.0,18.0,30.04,0.0
81.0,73.0,5.0,29.91,0.01
42.0,76.0,24.0,29.78,0.0
87.0,58.0,8.0,30.02,0.0
47.0,46.0,17.0,29.81,0.0
100.0,60.0,0.0,30.12,0.0
34.0,21.0,36.0,30.09,0.01
75.0,59.0,17.0,29.98,0.0
76.0,65.0,6.0,30.22,0.0
82.0,75.0,7.0,30.16,0.0
44.0,71.0,14.0,29.94,0.0
93.0,55.0,0.0,30.14,0.0
50.0,25.0,0.0,29.97,0.0
66.0,53.0,11.0,30.17,0.0
48.0,35.0,7.0,30.06,0.0
64.0,74.0,9.0,29.78,0.01
53.0,55.0,6.0,30.08,0.0
56.0,17.0,16.0,29.86,0.0
59.0,37.0,3.0,30.31,0.0
51.0,67.0,14.0,29.61,0.0
93.0,56.0,0.0,30.03,0.0
58.0,28.0,23.0,29.98,0.0
68.0,69.0,9.0,29.82,0.01
84.0,69.0,8.0,30.02,0.0
75.0,62.0,14.0,30.11,0.0
90.0,71.0,7.0,29.84,0.0
91.0,67.0,3.0,29.92,0.0
87.0,69.0,0.0,30.04,0.0
100.0,49.0,11.0,30.32,0.0
61.0,84.0,10.0,30.01,0.01
68.0,44.0,11.0,30.06,0.0
37.0,62.0,17.0,29.97,0.0
48.0,35.0,10.0,29.72,0.01
58.0,76.0,10.0,30.21,0.0
100.0,54.0,6.0,29.56,0.01
78.0,23.0,7.0,30.5,0.0
85.0,78.0,13.0,29.93,0.0
40.0,46.0,15.0,30.0,0.0
53.0,84.0,9.0,30.04,0.0
40.0,36.0,6.0,30.44,0.0
81.0,67.0,7.0,30.04,0.01
37.0,96.0,21.0,29.72,0.01
87.0,56.0,10.0,30.15,0.0
32.0,64.0,11.0,30.17,0.01
65.0,41.0,11.0,29.91,0.0
52.0,76.0,10.0,29.96,0.0
65.0,84.0,11.0,29.75,0.0
79.0,79.0,8.0,29.95,0.0
77.0,50.0,11.0,29.47,0.14
93.0,39.0,9.0,29.98,0.0
87.0,48.0,8.0,29.79,0.01
65.0,58.0,5.0,29.95,0.0
60.0,28.0,3.0,29.97,0.0
26.0,83.0,15.0,30.06,0.0
78.0,57.0,10.0,30.3,0.0
44.0,46.0,10.0,30.29,0.01
49.0,40.0,15.0,30.06,0.0
43.0,52.0,13.0,29.82,0.0
88.0,70.0,14.0,29.95,0.01
72.0,59.0,7.0,30.11,0.0
78.0,64.0,9.0,30.11,0.0
24.0,86.0,13.0,29.87,0.0
67.0,82.0,13.0,29.67,0.0
96.0,53.0,14.0,29.24,0.25
69.0,77.0,6.0,29.98,0.01
84.0,26.0,3.0,30.41,0.06
48.0,24.0,17.0,29.92,0.01
