prediction_num,city,weather,visibility,temperature,temperature_min,temperature_max,pressure,humidity,wind_speed,wind_degree
0,Seoul,Clouds,10000,296.03,295.48,296.03,1014,61,2.02,131
1,Seoul,Clouds,10000,295.2,293.55,295.2,1014,59,0.72,39
2,Seoul,Clouds,10000,293.4,292.08,293.4,1014,63,0.36,18
3,Seoul,Clouds,10000,290.76,290.76,290.76,1014,68,1.12,88
4,Seoul,Clouds,10000,290.34,290.34,290.34,1015,70,1.46,66
5,Seoul,Clouds,10000,296.28,296.28,296.28,1014,48,1.02,88
6,Seoul,Clouds,10000,301.19,301.19,301.19,1013,32,2.37,201
7,Seoul,Clouds,10000,302.45,302.45,302.45,1011,30,3.9,233
8,Seoul,Clouds,10000,299.66,299.66,299.66,1010,36,4.32,254
9,Seoul,Clouds,10000,295.92,295.92,295.92,1012,49,2.12,278
10,Seoul,Clouds,10000,294.95,294.95,294.95,1011,55,1.5,225
11,Seoul,Clouds,10000,293.15,293.15,293.15,1010,67,1.26,269
12,Seoul,Clouds,10000,292.45,292.45,292.45,1008,73,0.41,148
13,Seoul,Rain,10000,292.41,292.41,292.41,1007,77,0.97,234
14,Seoul,Rain,6620,290.68,290.68,290.68,1006,92,2.18,255
15,Seoul,Rain,9948,290.74,290.74,290.74,1004,91,0.7,325
16,Seoul,Rain,10000,290.71,290.71,290.71,1003,91,1.58,308
17,Seoul,Clouds,10000,289.69,289.69,289.69,1003,95,1.35,289
18,Seoul,Rain,10000,289.21,289.21,289.21,1003,85,3.8,320
19,Seoul,Clouds,10000,287.75,287.75,287.75,1002,88,1.18,308
20,Seoul,Clouds,10000,287.86,287.86,287.86,1003,83,0.62,187
21,Seoul,Clouds,10000,292.7,292.7,292.7,1002,58,1.57,211
22,Seoul,Clear,10000,296.43,296.43,296.43,1002,35,5.36,232
23,Seoul,Clear,10000,296.62,296.62,296.62,1001,30,6.88,237
24,Seoul,Clear,10000,294.48,294.48,294.48,1000,38,6.93,225
25,Seoul,Clear,10000,290.6,290.6,290.6,1001,66,5.0,240
26,Seoul,Clear,10000,289.34,289.34,289.34,1002,79,2.0,221
27,Seoul,Clear,10000,288.31,288.31,288.31,1001,86,1.65,192
28,Seoul,Clear,10000,288.03,288.03,288.03,1001,88,1.69,159
29,Seoul,Clear,10000,292.98,292.98,292.98,1002,56,2.93,200
30,Seoul,Clear,10000,297.67,297.67,297.67,1001,35,5.24,229
31,Seoul,Clear,10000,298.83,298.83,298.83,1000,31,5.68,235
32,Seoul,Clear,10000,296.69,296.69,296.69,1000,40,4.37,237
33,Seoul,Clouds,10000,293.77,293.77,293.77,1001,61,1.8,224
34,Seoul,Clouds,10000,291.97,291.97,291.97,1002,83,2.16,204
35,Seoul,Rain,10000,291.56,291.56,291.56,1002,84,2.95,194
36,Seoul,Rain,10000,290.79,290.79,290.79,1003,89,2.16,174
37,Seoul,Rain,10000,291.77,291.77,291.77,1004,84,2.28,181
38,Seoul,Clouds,10000,296.91,296.91,296.91,1005,58,3.27,207
39,Seoul,Clouds,10000,298.92,298.92,298.92,1004,47,4.3,242
