date,bikecounts,hour,temp,humidity,windspeed,visibility,dewpointtemp,solarradiation,rainfall,snowfall,spring,summer,winter,noholiday,functioningday
2017-01-12,254.0,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,204.0,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,173.0,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,107.0,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,78.0,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,100.0,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,181.0,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,460.0,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,930.0,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,0,0,1,1,1
2017-01-12,490.0,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,0,0,1,1,1
2017-01-12,339.0,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,0,0,1,1,1
2017-01-12,360.0,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,0,0,1,1,1
2017-01-12,449.0,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,0,0,1,1,1
2017-01-12,451.0,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,0,0,1,1,1
2017-01-12,447.0,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,0,0,1,1,1
2017-01-12,463.0,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,0,0,1,1,1
2017-01-12,484.0,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,0,0,1,1,1
2017-01-12,555.0,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,0,0,1,1,1
2017-01-12,862.0,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,600.0,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,426.0,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,405.0,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,398.0,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,0,0,1,1,1
2017-01-12,323.0,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,328.0,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,308.0,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,262.0,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,167.0,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,89.0,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,79.0,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,70.0,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,146.0,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,219.0,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,0,0,1,1,1
2017-02-12,328.0,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,0,0,1,1,1
2017-02-12,334.0,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,0,0,1,1,1
2017-02-12,388.0,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,0,0,1,1,1
2017-02-12,479.0,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,0,0,1,1,1
2017-02-12,606.0,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,0,0,1,1,1
2017-02-12,611.0,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,0,0,1,1,1
2017-02-12,589.0,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,0,0,1,1,1
2017-02-12,618.0,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,0,0,1,1,1
2017-02-12,572.0,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,0,0,1,1,1
2017-02-12,489.0,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,385.0,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,359.0,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,377.0,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,354.0,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,0,0,1,1,1
2017-02-12,366.0,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,342.0,0,4.0,58,1.4,1296,-3.5,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,227.0,1,3.9,69,1.7,485,-1.2,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,228.0,2,3.3,79,1.4,830,0.0,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,117.0,3,3.4,71,1.6,1011,-1.3,0.0,0.5,0.0,0,0,1,1,1
2017-03-12,76.0,4,3.5,73,1.0,1060,-0.8,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,32.0,5,3.9,75,1.9,914,-0.1,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,13.0,6,3.4,86,2.5,278,1.2,0.0,1.0,0.0,0,0,1,1,1
2017-03-12,22.0,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,85.0,8,3.2,92,1.8,244,2.0,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,152.0,9,3.5,91,1.8,231,2.1,0.02,2.5,0.0,0,0,1,1,1
2017-03-12,200.0,10,4.4,89,2.2,257,2.7,0.24,0.0,0.0,0,0,1,1,1
2017-03-12,273.0,11,5.1,87,1.4,321,3.1,0.25,0.0,0.0,0,0,1,1,1
2017-03-12,333.0,12,5.8,85,1.7,349,3.4,0.43,0.0,0.0,0,0,1,1,1
2017-03-12,495.0,13,6.8,81,1.9,390,3.7,0.6,0.0,0.0,0,0,1,1,1
2017-03-12,563.0,14,7.6,76,1.2,422,3.6,0.69,0.0,0.0,0,0,1,1,1
2017-03-12,621.0,15,8.0,73,1.6,433,3.4,0.53,0.0,0.0,0,0,1,1,1
2017-03-12,598.0,16,7.6,77,1.6,399,3.8,0.2,0.0,0.0,0,0,1,1,1
2017-03-12,545.0,17,6.7,82,1.5,358,3.8,0.05,0.0,0.0,0,0,1,1,1
2017-03-12,443.0,18,6.0,84,1.9,327,3.4,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,422.0,19,5.7,85,1.7,309,3.3,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,397.0,20,5.2,87,1.4,253,3.2,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,385.0,21,4.7,87,1.2,247,2.7,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,350.0,22,4.3,89,1.8,201,2.6,0.0,0.0,0.0,0,0,1,1,1
2017-03-12,303.0,23,3.9,90,1.3,194,2.4,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,285.0,0,4.2,88,0.6,216,2.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,186.0,1,4.3,87,0.5,221,2.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,112.0,2,4.4,87,1.8,207,2.4,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,65.0,3,3.6,85,2.3,206,1.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,41.0,4,2.8,89,1.5,130,1.1,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,82.0,5,2.0,83,2.7,253,-0.5,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,200.0,6,1.2,76,3.7,371,-2.5,0.0,0.1,0.0,0,0,1,1,1
2017-04-12,498.0,7,0.2,68,3.4,702,-5.0,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,937.0,8,-0.8,69,3.5,954,-5.7,0.01,0.0,0.0,0,0,1,1,1
2017-04-12,509.0,9,-1.5,47,4.2,1888,-11.3,0.22,0.0,0.0,0,0,1,1,1
2017-04-12,311.0,10,-1.1,40,4.5,2000,-13.0,0.64,0.0,0.0,0,0,1,1,1
2017-04-12,379.0,11,-0.5,41,4.1,1799,-12.1,0.94,0.0,0.0,0,0,1,1,1
2017-04-12,393.0,12,-0.3,38,4.8,1823,-12.9,1.11,0.0,0.0,0,0,1,1,1
2017-04-12,391.0,13,0.0,30,5.4,1938,-15.5,1.17,0.0,0.0,0,0,1,1,1
2017-04-12,338.0,14,0.1,27,4.5,2000,-16.7,1.09,0.0,0.0,0,0,1,1,1
2017-04-12,341.0,15,-0.1,25,5.8,2000,-17.8,0.88,0.0,0.0,0,0,1,1,1
2017-04-12,375.0,16,-0.2,23,4.7,2000,-18.8,0.55,0.0,0.0,0,0,1,1,1
2017-04-12,515.0,17,-1.3,26,5.3,2000,-18.3,0.18,0.0,0.0,0,0,1,1,1
2017-04-12,807.0,18,-2.1,29,3.9,2000,-17.7,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,568.0,19,-2.9,32,3.2,2000,-17.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,398.0,20,-3.6,38,3.0,2000,-15.8,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,397.0,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,353.0,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,0,0,1,1,1
2017-04-12,248.0,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,216.0,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,198.0,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,124.0,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,62.0,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,42.0,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,82.0,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,172.0,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,381.0,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,812.0,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,0,0,1,1,1
2017-05-12,462.0,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,0,0,1,1,1
2017-05-12,269.0,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,0,0,1,1,1
2017-05-12,334.0,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,321.0,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,325.0,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,334.0,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,353.0,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,435.0,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,529.0,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,789.0,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,597.0,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,418.0,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,415.0,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,393.0,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,0,0,1,1,1
2017-05-12,244.0,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,0,0,1,1,1
2017-06-12,145.0,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,0,0,1,1,1
2017-06-12,144.0,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,0,0,1,1,1
2017-06-12,117.0,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,0,0,1,1,1
